iteration,t_loss,v_loss
           0,    1.195769,  0.15637279
         100,   1.2181932,  0.14667898
         200,   1.0055615,   1.5656462
         300,  0.66178417,  0.63818187
         400,  0.84756637,  0.94556218
         500,  0.74518734,  0.38878122
         600,  0.73932916,  0.33702266
         700,   0.6383763,  0.42663106
         800,    0.675421,  0.64938635
         900,  0.76229286,   0.1886148
        1000,   1.1219854,   1.6236092
        1100,  0.74558568,  0.23907955
        1200,   1.2381212, 0.070699729
        1300,  0.74761575,  0.67492414
        1400,   0.6922574,  0.46545902
        1500,   0.7287643,  0.29671237
        1600,  0.95703268,   1.1649207
        1700,  0.70603889,  0.62815887
        1800,   1.2716293, 0.062723406
        1900,  0.72134024,  0.20147042
        2000,  0.81300688,  0.17409413
        2100,  0.75468016,  0.34922364
        2200,  0.74386722,  0.19044645
        2300,  0.75723982,  0.30461386
        2400,  0.82491142,  0.15943582
        2500,  0.80315596,  0.21380627
        2600,  0.89599913,  0.11048647
        2700,  0.78645712,  0.33878839
        2800,  0.83392519,  0.13483071
        2900,  0.72173929,  0.55336446
        3000,   1.1623996, 0.086248137
        3100,  0.87988931,  0.74495488
        3200,   1.0285674, 0.078769989
        3300,  0.81660527,  0.19107418
        3400,  0.69016242,  0.36770427
        3500,  0.71943742,  0.34883174
        3600,  0.71735901,    0.485329
        3700,  0.80647039,  0.27139023
        3800,  0.83537579,  0.11494587
        3900,   1.3754482, 0.022810047
        4000,  0.87829715,   0.1444733
        4100,  0.74612492,  0.76461339
        4200,   0.7514286,  0.46391353
        4300,  0.79872781,  0.44657573
        4400,  0.81750709,  0.16555488
        4500,  0.86454439,  0.10383821
        4600,  0.74619609,  0.20141299
        4700,   0.6768201,  0.47758603
        4800,  0.92677325, 0.080241896
        4900,  0.78179574,  0.10782798
        5000,    0.668567,  0.38462004
        5100,  0.87182349, 0.078204989
        5200,  0.86630058,  0.11400014
        5300,   0.8621549,  0.13762631
        5400,   0.7094968,  0.15745173
        5500,  0.91544384,  0.10398015
        5600,  0.77908689,  0.27606949
        5700,  0.74299669,  0.34833574
        5800,  0.75061494,   0.2784988
        5900,  0.69746691,  0.30020526
        6000,   1.0804281,   0.0580917
        6100,   1.2326859, 0.043343425
        6200,  0.82362795,  0.17354627
        6300,   1.0308769,  0.89814311
        6400,  0.94200844,  0.22771461
        6500,  0.90686053,  0.42726099
        6600,   1.1280808, 0.064110816
        6700,  0.83035254,  0.30533949
        6800,   1.1949073, 0.063303709
        6900,   1.0991982,   1.3200183
        7000,  0.91435981,  0.52965146
        7100,  0.85937256,  0.11940082
        7200,   1.4690703,    1.822876
        7300,  0.87479591,  0.62470824
        7400,  0.92490274,  0.15847868
        7500,  0.85564369,  0.14309712
        7600,  0.81272155,   0.2751309
        7700,   1.5118285, 0.041439027
        7800,   1.5442785, 0.026123216
        7900,  0.88920408,  0.24221766
