iteration,t_loss,v_loss
           0,  0.79147357, 0.055885363
         100,  0.60854191,  0.14165731
         200,  0.72188687, 0.070247181
         300,  0.68812793, 0.085007109
         400,  0.65634161,  0.10465912
         500,  0.56720501,  0.21641314
         600,  0.60609907,  0.46168479
         700,  0.61372334,  0.20512313
         800,  0.58635169,  0.17464979
         900,  0.60189712,  0.16239201
        1000,  0.78720933,  0.06550023
        1100,  0.58024681,  0.18726815
        1200,  0.75602442, 0.054347813
        1300,  0.57862574,  0.19887847
        1400,  0.56666249,     0.13177
        1500,  0.56309474,  0.22621374
        1600,  0.55965704,  0.12114719
        1700,  0.49999794,  0.20946641
        1800,  0.56783068,  0.20632286
        1900,  0.64623517,  0.42132378
        2000,  0.58252591,  0.20479341
        2100,  0.61256188,  0.18405084
        2200,  0.55927914,  0.18416643
        2300,  0.64150304, 0.071305521
        2400,  0.56250626,  0.11514378
        2500,  0.59470046,  0.23442997
        2600,  0.53289706,  0.22173005
        2700,  0.62049496, 0.049441975
        2800,  0.57063979,  0.16426957
        2900,  0.57869536,  0.14533225
        3000,  0.58578426,  0.14656551
        3100,  0.59548098,  0.13735391
        3200,   0.6139524,  0.17958046
        3300,  0.65236586,  0.37923121
        3400,   0.6717394,  0.16400072
        3500,  0.60112649,  0.21642871
        3600,    0.569305,  0.21237896
        3700,  0.61461353,  0.21732752
        3800,  0.58653176,  0.28167844
        3900,  0.75619453,  0.11096769
        4000,  0.60172135,  0.15754098
        4100,  0.68547392, 0.097927742
        4200,  0.72253948,  0.12896013
        4300,   0.6092208,   0.3347092
        4400,  0.65036583,  0.38102815
        4500,  0.61331648,  0.23643948
        4600,  0.57987601,  0.30503809
        4700,  0.60090917,  0.17745978
        4800,  0.77174854, 0.073640265
        4900,  0.61414409,  0.29745999
        5000,  0.62060457,  0.11906896
        5100,  0.59612507,  0.24837311
        5200,  0.56687981,  0.15863344
        5300,   0.6030705, 0.087822072
        5400,  0.55337995,  0.14652817
        5500,  0.57673246,  0.20965068
        5600,  0.80126208, 0.058530223
        5700,  0.75265223, 0.049561203
        5800,  0.59277672,  0.22526228
        5900,   0.6424281,  0.12051035
        6000,   0.6152842,  0.16771205
        6100,  0.63517874,  0.27309692
        6200,  0.67699695,  0.38669261
        6300,  0.57403976,   0.2302881
        6400,  0.58503687,  0.23098457
        6500,  0.68539715, 0.097921945
        6600,  0.58057332,  0.21198095
        6700,  0.66192716,  0.16672693
        6800,  0.73071295,  0.11682734
        6900,  0.61455327,  0.26972428
        7000,  0.58612919,  0.20786726
        7100,  0.76815361, 0.083105892
        7200,  0.53608555,  0.20551002
        7300,  0.59002537,  0.14483291
        7400,  0.67002106, 0.083254188
        7500,  0.62343687, 0.098069005
        7600,  0.61372203,  0.21882308
        7700,  0.61494279,  0.14071563
        7800,  0.51214606,   0.2006412
        7900,  0.57903999,  0.18947159
        8000,  0.63619626, 0.098273255
        8100,  0.60086435,  0.24852186
        8200,  0.64516711,  0.12785338
        8300,  0.70447439, 0.082680009
        8400,  0.56115478,  0.24464893
        8500,  0.67503446,  0.10112471
        8600,  0.58270574,  0.15541483
        8700,  0.64957964,  0.10770332
        8800,  0.57746565,  0.14945684
        8900,  0.66462362,  0.09935879
        9000,  0.56767893,  0.18940549
        9100,  0.61051661,  0.12364221
        9200,  0.80398536,  0.05825628
        9300,  0.60061258, 0.096693166
        9400,  0.64254218, 0.081107423
        9500,  0.63922203,  0.11069212
        9600,  0.60553449,  0.20660521
        9700,  0.70165873,  0.10328069
        9800,  0.67391515,  0.13234882
        9900,  0.64582133,   0.1421088
       10000,  0.63168174,  0.13466211
       10100,  0.64932936, 0.082434051
       10200,  0.55318278,  0.17335041
       10300,  0.53175968,  0.24926583
       10400,  0.52046007,  0.26192594
       10500,  0.53521103,  0.21586739
       10600,  0.73210543, 0.080563091
       10700,  0.66846943,  0.12172711
       10800,  0.51255429,  0.22855765
